,id,host_id,neighborhood_group,neighborhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,host_listings_count,availability_365,num_reviews_ltm,price_category
3424,9753101.0,45529183,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49346,13.41787,Entire home/apt,58,2,3,0.04,1,0,0,middle_price
3425,9753289.0,50304667,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48971,13.41841,Entire home/apt,100,1,0,0.0,1,0,0,high_price
3426,9755274.0,50259108,Neukölln,Reuterstraße,52.48804,13.42953,Private room,25,2,0,0.0,2,0,0,low_price
3427,9755521.0,50311596,Mitte,Parkviertel,52.5521,13.34844,Entire home/apt,70,3,0,0.0,1,0,0,middle_price
3428,9760769.0,25993140,Pankow,Prenzlauer Berg Nordwest,52.55388,13.40049,Entire home/apt,89,3,38,0.56,1,25,3,high_price
3429,9761737.0,8772776,Mitte,Moabit Ost,52.53437,13.34663,Entire home/apt,30,2,0,0.0,1,0,0,low_price
3430,9763842.0,37109255,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.5155,13.4555,Entire home/apt,76,3,1,0.01,1,0,0,middle_price
3431,9766201.0,18868048,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.52119,13.43271,Private room,25,1,1,0.01,1,0,0,low_price
3432,9768263.0,21256997,Pankow,Helmholtzplatz,52.54626,13.41596,Entire home/apt,85,5,10,0.13,1,0,0,high_price
3433,9768373.0,20024969,Charlottenburg-Wilm.,Mierendorffplatz,52.52541,13.30535,Entire home/apt,55,3,45,0.64,2,6,13,middle_price
3434,9769929.0,50373075,Mitte,Brunnenstr. Nord,52.54297,13.37362,Entire home/apt,50,5,2,0.03,1,0,0,middle_price
